@ HyperIMU - ianovir
@ Date:Tue Nov 05 10:56:57 GMT-03:00 2024, Sampling Rate:100ms

bmi3x0_accelerometer.x,bmi3x0_accelerometer.y,bmi3x0_accelerometer.z,orientation.x,orientation.y,orientation.z
-1.1787642,1.1739786,9.62483,6.9050903,0.123982206,-1.2430243
0.075673014,0.4031906,9.535996,6.558197,-0.029549949,-1.2953376
0.03499503,0.4031906,9.651151,6.2059326,-0.13353358,-1.366888
0.29820552,0.29072794,9.699007,5.8783264,-0.1451093,-1.3272035
-0.18753748,-0.60717875,9.703794,5.9656982,-0.16745621,-1.3182966
-0.6017949,-0.3056831,10.01486,5.357849,0.11179114,-1.7325523
-0.10378868,-1.2870395,9.856934,4.267273,0.4614463,-1.5505068
0.27667013,-1.4787644,9.809077,4.0176697,1.5563474,-1.6149328
-0.15643078,0.07507481,9.787542,4.271118,1.7016103,-1.6158985
-0.16360925,0.0846461,9.794721,4.270111,1.6446131,-1.6467611
-0.1372882,0.034396827,9.868897,4.2588806,1.5567552,-1.460842
-0.12532409,0.017647067,9.837791,4.26416,1.5318053,-1.4022161
-0.14207384,0.034396827,9.82822,4.259613,1.4357785,-1.3646712
-0.1372882,0.027218357,9.830613,5.857422,1.3412565,-1.3366193
-0.14446667,0.0056829536,9.8473625,7.539215,1.25394,-1.3145986
-0.14925231,0.032004002,9.818648,9.602264,1.1490911,-1.2852478
-0.13968103,0.04636094,9.789935,10.950317,1.0807028,-1.2623448
-0.17796618,-0.008673982,9.82822,12.090912,1.0276282,-1.2521076
-0.13968103,0.017647067,9.816256,13.229095,0.9836749,-1.2354803
-0.12532409,0.034396827,9.825827,14.297363,0.9420312,-1.2232888
-0.14925231,0.02961118,9.809077,15.196411,0.903123,-1.2109747
-0.14207384,0.027218357,9.825827,16.048706,0.8755851,-1.2030236
-0.15643078,0.032004002,9.81147,16.747742,0.8509493,-1.1952544
-0.15164514,0.034396827,9.789935,17.390228,0.8280236,-1.1922811
-0.15643078,0.017647067,9.804292,17.940186,0.81011385,-1.1864791
-0.13489537,0.024825536,9.787542,18.565765,0.7951914,-1.1784059
-0.1061815,0.012861421,9.821041,18.905457,0.7886892,-1.1762749
-0.13489537,0.015254244,9.818648,19.024231,0.775051,-1.1737169
-0.15643078,0.034396827,9.81147,19.02893,0.7687285,-1.1704497
-0.22612174,-0.06610172,9.397213,19.02652,0.8365824,-1.1293674
